"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"maker-scaffold922-size75348-snap-gene-0.49-mRNA-1","05713","5713",0.105,314.7,117.3,0.0746,0.008,0.1072,2.5,12.6
"augustus_masked-scaffold922-size75348-abinit-gene-0.14-mRNA-1","05714","5714",0.191,275.3,120.7,0.0699,0.0126,0.1805,3.5,21.8
"snap_masked-scaffold922-size75348-abinit-gene-0.18-mRNA-1","05715","5715",0.042,458.7,96.3,0.1189,0.0061,0.0515,2.8,5
"snap_masked-scaffold922-size75348-abinit-gene-0.21-mRNA-1","05717","5717",0.135,290.8,87.2,0.1664,0.0209,0.1259,6.1,11
"augustus_masked-scaffold1144-size54435-abinit-gene-0.4-mRNA-1","05719","5719",0.131,322.2,118.8,0.1358,0.0161,0.1183,5.2,14.1
"maker-scaffold1144-size54435-augustus-gene-0.11-mRNA-1","05720","5720",0.126,3048.2,872.8,0.059,0.0092,0.1562,28.1,136.3
"maker-scaffold1144-size54435-augustus-gene-0.16-mRNA-1","05722","5722",0.154,363.1,125.9,0.1937,0.0248,0.1279,9,16.1
"maker-scaffold1144-size54435-snap-gene-0.22-mRNA-1","05723","5723",0.031,1340.1,291.9,0.0173,9e-04,0.0538,1.2,15.7
"maker-scaffold1394-size64930-augustus-gene-0.16-mRNA-1","05727","5727",0.026,593.6,168.4,0.0426,0.0015,0.034,0.9,5.7
"snap_masked-scaffold1394-size64930-abinit-gene-0.12-mRNA-1","05730","5730",0.283,1486.2,547.8,0.1522,0.0377,0.2476,56,135.6
"augustus_masked-scaffold1394-size64930-abinit-gene-0.2-mRNA-1","05731","5731",0.225,607.1,208.9,0.106,0.0238,0.224,14.4,46.8
"maker-scaffold794-size41487-snap-gene-0.4-mRNA-1","05738","5738",0.024,352.1,70.9,0.0291,0.0012,0.0425,0.4,3
"maker-scaffold162-size90734-augustus-gene-0.36-mRNA-1","05742","5742",0.129,518,178,0.4088,0.0314,0.0769,16.3,13.7
"maker-scaffold162-size90734-augustus-gene-0.37-mRNA-1","05745","5745",0.101,703.1,208.9,0.0473,0.006,0.1264,4.2,26.4
"augustus_masked-scaffold162-size90734-abinit-gene-0.9-mRNA-1","05747","5747",0.128,1065.6,257.4,0.0239,0.0048,0.2001,5.1,51.5
"augustus_masked-scaffold162-size90734-abinit-gene-0.2-mRNA-1","05748","5748",0.026,734.2,255.8,0.0646,0.0018,0.0284,1.3,7.3
"maker-scaffold162-size90734-augustus-gene-0.45-mRNA-1","05749","5749",0.104,1397.5,414.5,0.0744,0.0091,0.1217,12.6,50.4
"maker-scaffold162-size90734-augustus-gene-0.44-mRNA-1","05750","5750",0.049,730.4,232.6,0.0611,0.0035,0.0566,2.5,13.2
"maker-scaffold162-size90734-snap-gene-0.56-mRNA-1","05751","5751",0.065,881.3,294.7,0.0526,0.0039,0.0742,3.4,21.9
"maker-scaffold162-size90734-augustus-gene-0.38-mRNA-1","05753","5753",0.081,1197.5,362.5,0.0448,0.0045,0.1012,5.4,36.7
"maker-scaffold162-size90734-augustus-gene-0.42-mRNA-1","05754","5754",0.057,2279.2,576.8,0.0125,0.0011,0.089,2.5,51.3
"augustus_masked-scaffold2403-size8903-abinit-gene-0.0-mRNA-1","05762","5762",0.089,612.3,179.7,0.1113,0.0105,0.0947,6.5,17
"augustus_masked-scaffold3058-size18324-abinit-gene-0.0-mRNA-1","05763","5763",0.032,1710.6,527.4,0.0669,0.0025,0.0377,4.3,19.9
"maker-scaffold1381-size34170-augustus-gene-0.12-mRNA-1","05764","5764",0.136,839.3,246.7,0.1213,0.0172,0.1416,14.4,34.9
"maker-scaffold1381-size34170-snap-gene-0.18-mRNA-1","05765","5765",0.048,971.8,309.2,0.1202,0.0058,0.048,5.6,14.8
"maker-scaffold1381-size34170-snap-gene-0.15-mRNA-1","05767","5767",0.139,1105.7,304.3,0.1768,0.0232,0.1312,25.6,39.9
"maker-scaffold1381-size34170-snap-gene-0.19-mRNA-1","05768","5768",0.086,985.4,184.6,0.0603,0.0083,0.1379,8.2,25.5
"maker-scaffold2216-size28342-snap-gene-0.16-mRNA-1","05772","5772",0.082,846.9,161.1,0.0676,0.0085,0.1259,7.2,20.3
"augustus_masked-scaffold771-size44920-abinit-gene-0.4-mRNA-1","05775","5775",0.147,959.3,249.7,0.154,0.0229,0.1488,22,37.2
"maker-scaffold1174-size26602-snap-gene-0.10-mRNA-1","05781","5781",0.148,1031.3,282.7,0.0662,0.0122,0.1846,12.6,52.2
"maker-scaffold1174-size26602-snap-gene-0.12-mRNA-1","05782","5782",0.067,2457.9,692.1,0.0447,0.0039,0.0873,9.6,60.4
"maker-scaffold1174-size26602-augustus-gene-0.8-mRNA-1","05783","5783",0.121,3172.5,898.5,0.1068,0.0142,0.1332,45.1,119.7
"maker-scaffold921-size39356-snap-gene-0.12-mRNA-1","05785","5785",0.131,2142.9,719.1,0.0947,0.0129,0.1358,27.6,97.6
"maker-scaffold921-size39356-augustus-gene-0.9-mRNA-1","05786","5786",0.014,1128.5,416.5,0.0125,2e-04,0.0166,0.2,6.9
"maker-scaffold2890-size8350-snap-gene-0.3-mRNA-1","05790","5790",0.147,698.5,246.5,0.119,0.0167,0.1406,11.7,34.6
"maker-scaffold728-size64119-augustus-gene-0.18-mRNA-1","05805","5805",0.059,1613.9,423.1,0.0407,0.0033,0.0816,5.4,34.5
"augustus_masked-scaffold728-size64119-abinit-gene-0.4-mRNA-1","05809","5809",0.023,303.1,77.9,0.0709,0.002,0.0289,0.6,2.3
"augustus_masked-scaffold728-size64119-abinit-gene-0.1-mRNA-1","05810","5810",0.017,824.8,198.2,0.016,4e-04,0.0268,0.4,5.3
"maker-scaffold15-size76493-snap-gene-0.6-mRNA-1","05811","5811",0.088,996.6,278.4,0.052,0.0059,0.1127,5.8,31.4
"augustus_masked-scaffold243-size81418-abinit-gene-0.0-mRNA-1","05813","5813",0.054,445.9,76.1,0.05,0.0047,0.0948,2.1,7.2
"maker-scaffold243-size81418-augustus-gene-0.20-mRNA-1","05815","5815",0.101,667.6,205.4,0.1114,0.0117,0.1051,7.8,21.6
"maker-scaffold243-size81418-snap-gene-0.29-mRNA-1","05816","5816",0.049,2142.5,596.5,0.0522,0.0033,0.0628,7,37.5
"augustus_masked-scaffold243-size81418-abinit-gene-0.2-mRNA-1","05818","5818",0.155,494.6,144.4,0.0876,0.0154,0.176,7.6,25.4
"augustus_masked-scaffold1965-size11093-abinit-gene-0.0-mRNA-1","05821","5821",0.083,1711.7,376.3,0.046,0.0058,0.1267,10,47.7
"maker-scaffold513-size69722-augustus-gene-0.17-mRNA-1","05822","5822",0.095,773.2,228.8,0.1539,0.0141,0.0916,10.9,21
"augustus_masked-scaffold513-size69722-abinit-gene-0.3-mRNA-1","05823","5823",0.074,823.5,235.5,0.0762,0.0067,0.0881,5.5,20.8
"maker-scaffold513-size69722-snap-gene-0.28-mRNA-1","05826","5826",0.094,2078.2,549.8,0.0808,0.0093,0.1151,19.3,63.3
"snap_masked-scaffold513-size69722-abinit-gene-0.8-mRNA-1","05827","5827",0.025,1252.6,349.4,0.0671,0.0021,0.0308,2.6,10.8
"maker-scaffold513-size69722-snap-gene-0.25-mRNA-1","05828","5828",0.096,494,133,0.0371,0.0049,0.1329,2.4,17.7
"snap_masked-scaffold1654-size68609-abinit-gene-0.19-mRNA-1","05835","5835",0.055,1592.1,507.9,0.0354,0.0024,0.0686,3.9,34.8
"maker-scaffold1654-size68609-augustus-gene-0.34-mRNA-1","05839","5839",0.011,1081.4,283.6,0.0505,7e-04,0.0147,0.8,4.2
"maker-scaffold1654-size68609-augustus-gene-0.31-mRNA-1","05841","5841",0.093,254.2,96.8,0.0448,0.0045,0.1008,1.1,9.7
"snap_masked-scaffold1782-size13150-abinit-gene-0.4-mRNA-1","05850","5850",0.157,1206.5,320.5,0.045,0.0096,0.2127,11.5,68.2
"maker-scaffold1326-size36164-snap-gene-0.21-mRNA-1","05854","5854",0.033,535.7,184.3,0.0114,5e-04,0.0413,0.3,7.6
"augustus_masked-scaffold1326-size36164-abinit-gene-0.1-mRNA-1","05855","5855",0.112,453.9,110.1,0.0833,0.0119,0.1423,5.4,15.7
"augustus_masked-scaffold1326-size36164-abinit-gene-0.7-mRNA-1","05856","5856",0.105,1569,414,0.0858,0.0108,0.1263,17,52.3
"augustus_masked-scaffold1326-size36164-abinit-gene-0.4-mRNA-1","05858","5858",0.125,1341,378,0.0659,0.0101,0.1541,13.6,58.2
"maker-scaffold1326-size36164-augustus-gene-0.19-mRNA-1","05859","5859",0.043,821.7,285.3,0.0056,3e-04,0.0552,0.3,15.7
"maker-scaffold1326-size36164-augustus-gene-0.20-mRNA-1","05860","5860",0.032,1495.8,427.2,0.0476,0.0019,0.0408,2.9,17.4
"augustus_masked-scaffold1238-size16567-abinit-gene-0.3-mRNA-1","05861","5861",0.052,947.2,222.8,0.1201,0.0072,0.06,6.8,13.4
"maker-scaffold1238-size16567-snap-gene-0.11-mRNA-1","05862","5862",0.039,976.2,286.8,0.0164,9e-04,0.0546,0.9,15.7
"augustus_masked-scaffold1238-size16567-abinit-gene-0.2-mRNA-1","05864","5864",0.008,400.4,127.6,0.0037,0,0.0108,0,1.4
"maker-scaffold469-size126012-augustus-gene-0.16-mRNA-1","05878","5878",0.076,678,150,0.0662,0.0071,0.1072,4.8,16.1
"maker-scaffold1328-size34060-augustus-gene-0.15-mRNA-1","05885","5885",0.038,1254.5,416.5,0.0131,6e-04,0.0487,0.8,20.3
"maker-scaffold1328-size34060-augustus-gene-0.16-mRNA-1","05886","5886",0.132,563.8,129.2,0.0547,0.0104,0.191,5.9,24.7
"maker-scaffold1328-size34060-augustus-gene-0.14-mRNA-1","05887","5887",0.026,860.2,309.8,0.02,6e-04,0.0311,0.5,9.6
"maker-scaffold1328-size34060-snap-gene-0.23-mRNA-1","05888","5888",0.118,392.8,111.2,0.0404,0.0063,0.1555,2.5,17.3
"maker-scaffold1328-size34060-augustus-gene-0.17-mRNA-1","05889","5889",0.081,940.7,292.3,0.0347,0.0036,0.1029,3.4,30.1
"maker-scaffold4477-size5829-snap-gene-0.0-mRNA-1","05890","5890",0.146,532.7,199.3,0.0479,0.0076,0.1582,4,31.5
"maker-scaffold1600-size38579-snap-gene-0.6-mRNA-1","05895","5895",0.106,413.7,132.3,0.0251,0.0034,0.1356,1.4,17.9
"maker-scaffold1600-size38579-snap-gene-0.5-mRNA-1","05898","5898",0.037,364.8,130.2,0.0101,5e-04,0.046,0.2,6
"maker-scaffold1433-size14956-augustus-gene-0.10-mRNA-1","05903","5903",0.091,1403.7,396.3,0.1211,0.0117,0.0964,16.4,38.2
"maker-scaffold1433-size14956-augustus-gene-0.12-mRNA-1","05905","5905",0.061,772,257,0.0454,0.0032,0.0713,2.5,18.3
"snap_masked-scaffold1433-size14956-abinit-gene-0.8-mRNA-1","05906","5906",0.143,502.8,178.2,0.0596,0.0093,0.1563,4.7,27.9
"augustus_masked-scaffold1433-size14956-abinit-gene-0.3-mRNA-1","05907","5907",0.117,378.6,98.4,0.0692,0.0103,0.149,3.9,14.7
"maker-scaffold1433-size14956-augustus-gene-0.14-mRNA-1","05908","5908",0.129,1002,303,0.1511,0.0187,0.1236,18.7,37.5
"augustus_masked-scaffold220-size55351-abinit-gene-0.1-mRNA-1","05909","5909",0.094,307.7,76.3,0.0617,0.0078,0.1267,2.4,9.7
"augustus_masked-scaffold649-size114345-abinit-gene-0.1-mRNA-1","05912","5912",0.036,2145.3,665.7,0.0606,0.0026,0.0429,5.6,28.6
"maker-scaffold2061-size37749-augustus-gene-0.6-mRNA-1","05916","5916",0.137,1225.3,262.7,0.0674,0.0132,0.1963,16.2,51.6
"maker-scaffold1453-size21833-snap-gene-0.5-mRNA-1","05918","5918",0.031,694.4,199.6,0.116,0.0039,0.0333,2.7,6.6
"maker-scaffold561-size75909-augustus-gene-0.22-mRNA-1","05923","5923",0.1,893.5,273.5,0.066,0.0077,0.1168,6.9,31.9
"maker-scaffold561-size75909-snap-gene-0.28-mRNA-1","05925","5925",0.064,581.8,156.2,0.048,0.0041,0.086,2.4,13.4
"augustus_masked-scaffold561-size75909-abinit-gene-0.0-mRNA-1","05926","5926",0.077,538.1,151.9,0.0905,0.0079,0.0878,4.3,13.3
"augustus_masked-scaffold561-size75909-abinit-gene-0.8-mRNA-1","05927","5927",0.145,806.3,234.7,0.0693,0.012,0.1735,9.7,40.7
"augustus_masked-scaffold561-size75909-abinit-gene-0.5-mRNA-1","05929","5929",0.183,713.8,225.2,0.1272,0.023,0.1809,16.4,40.7
"maker-scaffold901-size90930-augustus-gene-0.13-mRNA-1","05937","5937",0.091,898.8,349.2,0.0164,0.0017,0.1043,1.5,36.4
"maker-scaffold2352-size11790-augustus-gene-0.7-mRNA-1","05948","5948",0.117,537.8,146.2,0.0417,0.0066,0.1581,3.5,23.1
"maker-scaffold57-size81932-augustus-gene-0.34-mRNA-1","05951","5951",0.077,1059.1,269.9,0.0371,0.0041,0.1104,4.3,29.8
"maker-scaffold57-size81932-snap-gene-0.46-mRNA-1","05952","5952",0.12,374,79,0.0566,0.0102,0.1805,3.8,14.3
"augustus_masked-scaffold57-size81932-abinit-gene-0.10-mRNA-1","05959","5959",0.099,973.5,202.5,0.0056,0.001,0.1863,1,37.7
"augustus_masked-scaffold57-size81932-abinit-gene-0.15-mRNA-1","05960","5960",0.069,314.9,84.1,0.0541,0.0049,0.0912,1.6,7.7
"maker-scaffold57-size81932-snap-gene-0.49-mRNA-1","05962","5962",0.11,1241.6,297.4,0.0498,0.0078,0.1571,9.7,46.7
"maker-scaffold2024-size35182-snap-gene-0.10-mRNA-1","05967","5967",0.05,2244.9,770.1,0.0801,0.0042,0.0524,9.4,40.4
"augustus_masked-scaffold74-size76869-abinit-gene-0.3-mRNA-1","05977","5977",0.086,618.6,179.4,0.192,0.0147,0.0768,9.1,13.8
"augustus_masked-scaffold74-size76869-abinit-gene-0.8-mRNA-1","05981","5981",0.126,251.7,99.3,0.3777,0.0286,0.0758,7.2,7.5
"augustus_masked-scaffold429-size111872-abinit-gene-0.5-mRNA-1","05985","5985",0.07,1393,398,0.1169,0.0087,0.0747,12.2,29.7
"maker-scaffold429-size111872-snap-gene-0.26-mRNA-1","05986","5986",0.048,757.2,229.8,0.1053,0.0053,0.0506,4,11.6
"maker-scaffold429-size111872-snap-gene-0.30-mRNA-1","05987","5987",0.092,1867.2,697.8,0.1153,0.01,0.0864,18.6,60.3
"augustus_masked-scaffold429-size111872-abinit-gene-0.0-mRNA-1","05990","5990",0.045,2765.7,804.3,0.062,0.0034,0.0552,9.5,44.4
"maker-scaffold619-size47927-augustus-gene-0.14-mRNA-1","05997","5997",0.082,1491.3,410.7,0.0362,0.0041,0.112,6,46
"augustus_masked-scaffold619-size47927-abinit-gene-0.3-mRNA-1","05999","5999",0.146,547.4,160.6,0.0635,0.0112,0.1767,6.1,28.4
"maker-scaffold619-size47927-snap-gene-0.25-mRNA-1","06003","6003",0.02,1107.2,302.8,0.0381,0.001,0.0274,1.2,8.3
"maker-scaffold619-size47927-augustus-gene-0.17-mRNA-1","06004","6004",0.028,1234.4,424.6,0.055,0.0017,0.0315,2.1,13.4
"maker-scaffold32-size198344-snap-gene-0.31-mRNA-1","06006","6006",0.141,1794.5,530.5,0.0705,0.0118,0.1668,21.1,88.5
"maker-scaffold32-size198344-augustus-gene-0.24-mRNA-1","06015","6015",0.077,890,271,0.072,0.0064,0.089,5.7,24.1
"maker-scaffold32-size198344-snap-gene-0.39-mRNA-1","06016","6016",0.071,917.2,252.8,0.0478,0.0045,0.0933,4.1,23.6
"snap_masked-scaffold32-size198344-abinit-gene-1.30-mRNA-1","06018","6018",0.089,1672.6,403.4,0.0733,0.0086,0.1167,14.3,47.1
"maker-scaffold32-size198344-augustus-gene-1.39-mRNA-1","06019","6019",0.08,1716.5,551.5,0.0772,0.0069,0.0888,11.8,49
"maker-scaffold32-size198344-augustus-gene-1.37-mRNA-1","06022","6022",0.045,1161.9,362.1,0.0377,0.0021,0.0569,2.5,20.6
"maker-scaffold32-size198344-augustus-gene-1.38-mRNA-1","06026","6026",0.038,750.7,221.3,0.0546,0.0026,0.0468,1.9,10.3
"maker-scaffold32-size198344-snap-gene-1.62-mRNA-1","06030","6030",0.013,608.2,171.8,0.011,2e-04,0.019,0.1,3.3
"snap_masked-scaffold32-size198344-abinit-gene-1.33-mRNA-1","06031","6031",0.123,1093.6,409.4,0.1665,0.0173,0.1041,19,42.6
"snap_masked-scaffold32-size198344-abinit-gene-1.27-mRNA-1","06033","6033",0.044,1005.8,329.2,0.0845,0.004,0.0471,4,15.5
"maker-scaffold32-size198344-snap-gene-1.58-mRNA-1","06035","6035",0.111,433.1,130.9,0.0742,0.0095,0.1284,4.1,16.8
"augustus_masked-scaffold223-size114676-abinit-gene-0.3-mRNA-1","06040","6040",0.111,212.5,42.5,0.0688,0.0113,0.1644,2.4,7
"maker-scaffold223-size114676-snap-gene-0.28-mRNA-1","06041","6041",0.045,1726.9,418.1,0.047,0.003,0.0646,5.2,27
"maker-scaffold223-size114676-augustus-gene-0.24-mRNA-1","06044","6044",0.02,845.7,261.3,0.0203,5e-04,0.0269,0.5,7
"maker-scaffold223-size114676-augustus-gene-1.9-mRNA-1","06046","6046",0.073,1085.7,333.3,0.0686,0.0058,0.0846,6.3,28.2
"maker-scaffold223-size114676-snap-gene-1.13-mRNA-1","06047","6047",0.034,1518.8,593.2,0.1478,0.0043,0.0292,6.6,17.3
"augustus_masked-scaffold1882-size30705-abinit-gene-0.2-mRNA-1","06057","6057",0.101,252,99,0.0333,0.0037,0.1096,0.9,10.8
"snap_masked-scaffold1882-size30705-abinit-gene-0.7-mRNA-1","06059","6059",0.128,2425,701,0.1022,0.0143,0.1404,34.8,98.4
"augustus_masked-scaffold781-size96848-abinit-gene-0.6-mRNA-1","06063","6063",0.204,682.2,250.8,0.1032,0.0204,0.1979,13.9,49.6
"maker-scaffold781-size96848-augustus-gene-0.33-mRNA-1","06064","6064",0.03,1072.1,304.9,0.0922,0.0031,0.0336,3.3,10.3
"maker-scaffold781-size96848-augustus-gene-0.34-mRNA-1","06065","6065",0.062,1639.2,439.8,0.0463,0.0039,0.0834,6.3,36.7
"maker-scaffold781-size96848-augustus-gene-0.35-mRNA-1","06066","6066",0.124,247.5,70.5,0.1087,0.0146,0.1347,3.6,9.5
"maker-scaffold781-size96848-snap-gene-0.42-mRNA-1","06067","6067",0.055,1401.2,398.8,0.0869,0.0055,0.0632,7.7,25.2
"augustus_masked-scaffold781-size96848-abinit-gene-0.4-mRNA-1","06068","6068",0.106,454.8,145.2,0.2231,0.0191,0.0858,8.7,12.5
"snap_masked-scaffold781-size96848-abinit-gene-0.21-mRNA-1","06070","6070",0.122,234.5,92.5,0.0461,0.0059,0.1288,1.4,11.9
"maker-scaffold781-size96848-augustus-gene-0.40-mRNA-1","06072","6072",0.102,2166.1,635.9,0.1009,0.0112,0.1113,24.3,70.8
"augustus_masked-scaffold781-size96848-abinit-gene-0.3-mRNA-1","06073","6073",0.083,4268.9,1263.1,0.0553,0.0057,0.1024,24.2,129.4
"snap_masked-scaffold781-size96848-abinit-gene-0.12-mRNA-1","06075","6075",0.03,647.9,186.1,0.0459,0.0018,0.0386,1.1,7.2
"augustus_masked-scaffold2290-size17738-abinit-gene-0.0-mRNA-1","06078","6078",0.03,231.1,71.9,0.064,0.0023,0.0352,0.5,2.5
"maker-scaffold2507-size17934-augustus-gene-0.2-mRNA-1","06081","6081",0.096,558.2,164.8,0.0387,0.0048,0.1235,2.7,20.4
"augustus_masked-scaffold256-size142828-abinit-gene-0.0-mRNA-1","06082","6082",0.06,1197.4,323.6,0.0465,0.0037,0.0797,4.4,25.8
"augustus_masked-scaffold256-size142828-abinit-gene-0.1-mRNA-1","06084","6084",0.058,330.7,80.3,0.1276,0.0083,0.0649,2.7,5.2
"augustus_masked-scaffold256-size142828-abinit-gene-0.3-mRNA-1","06086","6086",0.145,279.3,176.7,0.0521,0.006,0.1151,1.7,20.3
"maker-scaffold256-size142828-snap-gene-1.17-mRNA-1","06091","6091",0.152,30.2,5.8,0.0211,0.006,0.2839,0.2,1.6
"augustus_masked-scaffold285-size63745-abinit-gene-0.5-mRNA-1","06092","6092",0.034,559.7,166.3,0.0956,0.0035,0.037,2,6.2
"augustus_masked-scaffold285-size63745-abinit-gene-0.4-mRNA-1","06093","6093",0.044,278.8,96.2,0.0935,0.0042,0.0453,1.2,4.4
"maker-scaffold285-size63745-augustus-gene-0.30-mRNA-1","06094","6094",0.092,1054.2,340.8,0.0668,0.007,0.1043,7.3,35.5
"maker-scaffold285-size63745-augustus-gene-0.31-mRNA-1","06095","6095",0.016,930.3,323.7,0.0174,3e-04,0.0199,0.3,6.5
"maker-scaffold285-size63745-augustus-gene-0.33-mRNA-1","06096","6096",0.086,1145.7,366.3,0.0503,0.0052,0.1025,5.9,37.6
"augustus_masked-scaffold285-size63745-abinit-gene-0.10-mRNA-1","06097","6097",0.127,1338.2,443.8,0.1883,0.0205,0.1088,27.4,48.3
"snap_masked-scaffold285-size63745-abinit-gene-0.20-mRNA-1","06099","6099",0.033,1037.5,288.5,0.0302,0.0014,0.0461,1.4,13.3
"maker-scaffold285-size63745-snap-gene-0.47-mRNA-1","06100","6100",0.031,1438,452,0.0549,0.002,0.037,2.9,16.7
"snap_masked-scaffold285-size63745-abinit-gene-0.18-mRNA-1","06101","6101",0.138,828.3,269.7,0.0895,0.0131,0.1467,10.9,39.6
"augustus_masked-scaffold285-size63745-abinit-gene-0.7-mRNA-1","06103","6103",0.015,2363.4,747.6,0.0126,2e-04,0.0196,0.6,14.6
"maker-scaffold148-size60264-snap-gene-0.26-mRNA-1","06118","6118",0.065,2757.3,845.7,0.0724,0.0054,0.0749,15,63.4
"maker-scaffold148-size60264-augustus-gene-0.22-mRNA-1","06123","6123",0.047,1803,474,0.0214,0.0015,0.069,2.7,32.7
"snap_masked-scaffold1208-size26970-abinit-gene-0.8-mRNA-1","06127","6127",0.107,1475.5,291.5,0.123,0.0164,0.1332,24.2,38.8
"maker-scaffold1208-size26970-snap-gene-0.13-mRNA-1","06128","6128",0.079,1774,380,0.0898,0.0095,0.1053,16.8,40
"maker-scaffold120-size66365-augustus-gene-0.14-mRNA-1","06135","6135",0.049,2577.1,722.9,0.0734,0.0043,0.0589,11.1,42.6
"maker-scaffold120-size66365-snap-gene-0.16-mRNA-1","06137","6137",0.067,380.5,120.5,0.1265,0.0084,0.0662,3.2,8
"augustus_masked-scaffold120-size66365-abinit-gene-0.3-mRNA-1","06138","6138",0.035,287.8,81.2,0.2421,0.0068,0.0282,2,2.3
"maker-scaffold3523-size13011-snap-gene-0.3-mRNA-1","06144","6144",0.103,402.5,110.5,0.1258,0.0138,0.1095,5.5,12.1
"maker-scaffold626-size43416-snap-gene-0.9-mRNA-1","06145","6145",0.013,398.8,117.2,0.0558,9e-04,0.0163,0.4,1.9
"maker-scaffold601-size30650-augustus-gene-0.13-mRNA-1","06150","6150",0.128,903.9,239.1,0.0316,0.0058,0.1823,5.2,43.6
"maker-scaffold601-size30650-snap-gene-0.22-mRNA-1","06151","6151",0.043,1375.3,379.7,0.0115,7e-04,0.0635,1,24.1
"snap_masked-scaffold601-size30650-abinit-gene-0.8-mRNA-1","06152","6152",0.122,1287.6,386.4,0.1137,0.0146,0.1281,18.8,49.5
"augustus_masked-scaffold568-size93449-abinit-gene-0.16-mRNA-1","06158","6158",0.059,1846.4,538.6,0.037,0.0028,0.0768,5.2,41.4
"maker-scaffold568-size93449-augustus-gene-0.39-mRNA-1","06159","6159",0.038,2024.1,621.9,0.0325,0.0016,0.049,3.2,30.4
"maker-scaffold568-size93449-augustus-gene-0.40-mRNA-1","06160","6160",0.036,975.9,314.1,0.0335,0.0015,0.0448,1.5,14.1
"maker-scaffold568-size93449-augustus-gene-0.36-mRNA-1","06161","6161",0.051,578.7,195.3,0.0858,0.0046,0.0537,2.7,10.5
"maker-scaffold568-size93449-augustus-gene-0.44-mRNA-1","06168","6168",0.069,255.1,32.9,0.0126,0.0023,0.1831,0.6,6
"snap_masked-scaffold568-size93449-abinit-gene-0.26-mRNA-1","06173","6173",0.071,445.2,160.8,0.0658,0.0049,0.0749,2.2,12
"snap_masked-scaffold568-size93449-abinit-gene-0.28-mRNA-1","06176","6176",0.097,298.4,97.6,0.0871,0.009,0.1037,2.7,10.1
"maker-scaffold1310-size51819-augustus-gene-0.16-mRNA-1","06179","6179",0.137,534.1,155.9,0.0829,0.0131,0.1574,7,24.5
"maker-scaffold2745-size15073-snap-gene-0.12-mRNA-1","06182","6182",0.095,1113.9,380.1,0.1743,0.0143,0.0821,15.9,31.2
"maker-scaffold2745-size15073-augustus-gene-0.7-mRNA-1","06183","6183",0.102,775.5,247.5,0.0871,0.0096,0.1099,7.4,27.2
"snap_masked-scaffold2832-size13777-abinit-gene-0.2-mRNA-1","06184","6184",0.153,821.7,237.3,0.0481,0.0094,0.1954,7.7,46.4
"maker-scaffold131-size95508-snap-gene-0.25-mRNA-1","06196","6196",0.128,468.8,128.2,0.1452,0.0188,0.1294,8.8,16.6
"snap_masked-scaffold131-size95508-abinit-gene-0.15-mRNA-1","06199","6199",0.04,974.7,219.3,0.0221,0.0015,0.066,1.4,14.5
"maker-scaffold131-size95508-snap-gene-0.26-mRNA-1","06202","6202",0.077,1565.2,384.8,0.0451,0.0049,0.1098,7.7,42.3
"maker-scaffold71-size201782-augustus-gene-0.23-mRNA-1","06204","6204",0.097,415.1,109.9,0.1107,0.0121,0.109,5,12
"maker-scaffold71-size201782-snap-gene-0.29-mRNA-1","06205","6205",0.089,130.8,25.2,0.051,0.0074,0.1458,1,3.7
"augustus_masked-scaffold71-size201782-abinit-gene-0.0-mRNA-1","06208","6208",0.099,843,249,0.0278,0.0037,0.1323,3.1,33
"maker-scaffold71-size201782-snap-gene-0.31-mRNA-1","06210","6210",0.051,1962.5,518.5,0.0126,0.001,0.0782,1.9,40.6
"maker-scaffold71-size201782-snap-gene-0.36-mRNA-1","06212","6212",0.118,804.8,203.2,0.1212,0.016,0.1319,12.9,26.8
"maker-scaffold71-size201782-snap-gene-0.34-mRNA-1","06214","6214",0.038,2000,664,0.0536,0.0023,0.0433,4.6,28.7
"maker-scaffold71-size201782-augustus-gene-1.46-mRNA-1","06217","6217",0.074,1862.6,693.4,0.0414,0.0034,0.0823,6.3,57.1
"maker-scaffold71-size201782-augustus-gene-1.43-mRNA-1","06219","6219",0.061,1633.5,487.5,0.0593,0.0044,0.0744,7.2,36.3
"augustus_masked-scaffold71-size201782-abinit-gene-1.14-mRNA-1","06220","6220",0.038,2358.3,728.7,0.0188,0.001,0.0508,2.3,37
"augustus_masked-scaffold71-size201782-abinit-gene-1.16-mRNA-1","06221","6221",0.082,663.3,203.7,0.0425,0.0043,0.1022,2.9,20.8
"maker-scaffold71-size201782-augustus-gene-1.45-mRNA-1","06222","6222",0.086,1030.6,325.4,0.051,0.0052,0.1025,5.4,33.4
"augustus_masked-scaffold71-size201782-abinit-gene-1.11-mRNA-1","06223","6223",0.026,574.2,157.8,0.0663,0.0022,0.0329,1.3,5.2
"maker-scaffold71-size201782-snap-gene-1.62-mRNA-1","06224","6224",0.075,865.1,310.9,0.2303,0.0133,0.0578,11.5,18
"augustus_masked-scaffold71-size201782-abinit-gene-1.9-mRNA-1","06225","6225",0.094,758.4,246.6,0.0601,0.0065,0.1082,4.9,26.7
"augustus_masked-scaffold71-size201782-abinit-gene-1.7-mRNA-1","06226","6226",0.021,611.6,198.4,0.0718,0.0017,0.0233,1,4.6
